"REQUEST YOUR QUOTE","Demandez un devis"
"Check your inbox, we’ll send you...","Vérifiez votre boîte mail, nous allons vous envoyer..."
"An email to activate your Customer Account to follow up your order.","Un e-mail pour activer votre compte client afin de suivre votre commande."
"Your order confirmation with the details of your purchase.","Votre confirmation de commande avec les détails de votre achat."
"Activate your customer account – Review your order details in one place.","Activez votre compte client - Consultez les détails de votre commande à un seul endroit."
"Your customer account has been created.","Votre compte client a été créé."
"Follow up your order, get direct support, and much more by activating your account! <br/>You just need to set up a password.","Suivez votre commande, bénéficiez d'une assistance rapide et bien plus encore en activant votre compte ! <br/>Vous avez juste besoin de créer un mot de passe."
"<a href=""%create_password_url"">Activate your account</a>","<a href=""%create_password_url"">Activez votre compte</a>"
"Thank you for your purchase!","Merci pour votre achat !"
"Continue Shopping","Continuer mes achats"
"It might help you to check our delivery information.","Nos informations de livraions peuvent vous aider à trouver votre réponse."
"By placing an order a customer account is automatically created.","En passant commande un compte client sera automatique crée."
"You are signed out","Vous êtes déconnecté"
"Please enter your email address below. You will receive a link to reset your password.","Veuillez insérer votre adresse courriel ci-bas. Vous recevrez un lien pour réinitialiser votre mot de passe."
"Track Shipment","Suivi de livraison"
"No Faqs Found!","Aucune FAQs trouvée !"
"Your order was successfully received (order number: %1).","Nous avons bien reçu votre commande (numéro de commande : %1)."
"We expect to deliver your order around %1 and %2.","Sa livraison est prévue entre le %1 et le %2."
"We expect to deliver your order on %1.","Sa livraison est prévue le %1."
"Select one or multiple options to receive your order ready for a gift.","Sélectionnez une ou plusieurs options pour recevoir votre commande prête à être offerte."
"Add to Cart","Ajouter au Panier"
"ADD TO CART","AJOUTER AU PANIER"
"Choose your gift options","Choisissez vos options cadeau"
"I want it","Je le veux"
"Add","Ajouter"
"ADD","AJOUTER"
"Complete your order","Complétez votre commande"
"COMPLETE YOUR ORDER","COMPLETEZ VOTRE COMMANDE"
"CONTINUE TO CART","ALLER AU PANIER"
"Gift options","Paquet cadeau"
"Make it a gift","Faites-en un cadeau"
