"REQUEST YOUR QUOTE","ANMOD OM CITAT"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Der er allerede en konto med denne email-adresse. Hvis du er sikker på, at det er din email-adresse, <a href=""%1""> klik her </a> for at få din adgangskode og få adgang til din konto."
"Sorry, no quotes are available for this order.","Der er desværre ingen tilbud på denne ordre."
"Get shipping methods and rates","Få forsendelsesmetoder og priser"
"You don\'t need to select a shipping method.","Du behøver ikke vælge en forsendelsesmetode."
"Incl. Tax","Inkl. Moms"
"Incl. tax","Inkl. moms"
"Excl. Tax","Ekskl. Moms"
"Excl. tax","Ekskl. moms"
"Total incl. tax","Total inkl. moms"
"Total excl. tax","Total ekskl. moms"
"Refund Shipping (Incl. Tax)","Tilbagebetaling af forsendelse (Inkl. Moms)"
"Refund Shipping (Excl. Tax)","Tilbagebetaling af forsendelse (Ekskl. Moms)"
"Refund Shipping","Tilbagebetaling af forsendelse"
"Click to change shipping method","Klik for at ændre forsendelsesmetode"
"Save in address book","Gem i adressebog"
"Please specify a regionId in shipping address.","Angiv et region-id i leveringsadressen."
"New Customers","Nye kunder"
"Registered Customers","Registrerede kunder"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved at oprette en konto i vores shop, vil du kunne gennemføre dine køb meget hurtigere, gemme flere leveringsadresser, se og spore dine ordrer på din konto og meget mere."
"If you have an account with us, please log in.","Har du allerede en konto hos os, kan du logge på her."
"Coupon code is not valid","Kuponkode er ikke gyldig"
"Login or Create an Account","Log ind eller opret konto"
"View and Edit Cart","Se og rediger indkøbskurv"
"We can't find products matching the selection.","Vi kan ikke finde produkter, der matcher udvalget."
"GoCustomized - Design your product","GoCustomized - Design dit produkt"
"You're reviewing:","Du anmelder:"
"You're reviewing:\n%s","Du anmelder:\n%s"
"You coupon was successfully applied.","Din kupon blev anvendt."
"No Payment Methods","Ingen betalingsmetoder"
"You have no items in your shopping cart.","Du har ingen varer i din indkøbskurv."
"Quality","Kvalitet"
"star","stjerne"
"Go Back","Gå tilbage"
"Please make sure your passwords match.","Sørg for, at dine adgangskoder matcher."
"We can\'t save the customer.","Vi kan ikke redde kunden."
"Thank you for registering with %1.","Tak fordi du registrerede dig hos %1."
"Print Order","Udskriv ordre"
"<span class=""label"">Order Date:</span> %1","<span class =""label""> Bestillingsdato: </span> %1"
"Price","Pris"
"price","pris"
"Filter","Filter"
"filter","filter"
"Could not apply coupon code","Kunne ikke anvende kuponkode"
"The shipping address is missing. Set the address and try again.","Forsendelsesadressen mangler. Indstil adressen, og prøv igen."
"Please type the letters below","Skriv venligst bogstaverne herunder"
"Products Reviews","Produkters bedømmelser"
"Currently Shopping by","Handler i øjeblikket efter"
"Currently Shopping by:","Handler i øjeblikket efter:"
"Reviews %1","Anmeldelser %1"
"You save the address.","Du gemmer adressen."
"Reset My Password","Nulstil min adgangskode"
"Incorrect CAPTCHA","Forkert CAPTCHA"
"A login and a password are required.","Et login og en adgangskode er påkrævet."
"Your search returned no results.","Din søgning gav ingen resultater."
"Did you mean","Mente du"
"Search results for: '%1'","Søgeresultater for: '%1'"
"Ordered","Bestilt"
"Shipped","Afsendt"
"Create New Customer Account","Opret ny kundekonto"
"Personal Information","Personlig information"
"Sign Up for Newsletter","Tilmeld dig nyhedsbrev"
"Login Information","Loginoplysninger"
"Review by","Anmeldelse af"
"Posted on","Opslået på"
"Please select a pickup location.","Vælg venligst et afhentningssted."
"Already a customer?","Er du allerede kunde?"
"Receive a faster answer about your order by login in below.","Få et hurtigere svar på din ordre ved at logge ind nedenfor."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Kundekonti oprettes, når du afgiver en ordre. En e-mail til aktivering af din konto blev sendt samme dag. Har du ikke modtaget denne e-mail? Aktivér din konto ved at nulstille din adgangskode <a href=""%1"">her</a>."
"Customer Contact","Kundekontakt"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","Er du endnu ikke kunde? Hvis du endnu ikke har bestilt noget hos os, bedes du udfylde vores kontaktformular."
"Fill out contact form","Udfyld kontaktformularen"
"Not yet a customer?","Er du endnu ikke kunde?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Hvis du endnu ikke har bestilt noget hos os, bedes du udfylde vores kontaktformular nedenfor. Hvis dit spørgsmål drejer sig om din ordre, bedes du logge ind <span class=""login"">her</span>. Det vil hjælpe os med at give dig et hurtigere svar!"
"General contact form:","Generel kontaktformular:"
"Login to your account","Log ind på din konto"
"Check your inbox, we’ll send you...","Tjek din indbakke, så sender vi dig..."
"An email to activate your Customer Account to follow up your order.","En e-mail til at aktivere din kundekonto for at følge op på din ordre."
"Your order confirmation with the details of your purchase.","Din ordrebekræftelse med oplysninger om dit køb."
"Activate your customer account – Review your order details in one place.","Aktiver din kundekonto - Gennemgå dine ordreoplysninger på ét sted."
"Your customer account has been created.","Din kundekonto er blevet oprettet."
"Follow up your order, get direct support, and much more by activating your account! <br/>You just need to set up a password.","Følg din ordre op, få direkte support og meget mere ved at aktivere din konto! <br/>Du skal blot oprette en adgangskode."
"<a href=""%create_password_url"">Activate your account</a>","<a href=""%create_password_url"">Aktiver din konto</a>"
"It might help you to check our delivery information.","Det kan være en hjælp for dig at tjekke vores leveringsoplysninger."
"By placing an order a customer account is automatically created.","Når du afgiver en ordre, oprettes der automatisk en kundekonto."
"You are signed out","Du er logget ud"
"Please enter your email address below. You will receive a link to reset your password.","Skriv din e-mail-adresse nedenfor. Du vil modtage et link til at nulstille dit kodeord."
"Track Shipment","Spor forsendelse"
"No Faqs Found!","Ingen ofte stillede spørgsmål fundet!"
"Your order was successfully received (order number: %1).","Din ordre blev modtaget (ordrenummer: %1)."
"Page","Side"
"We expect to deliver your order around %1 and %2.","Vi forventer at levere din ordre omkring %1 og %2."
"We expect to deliver your order on %1.","Vi forventer at levere din ordre den %1."
"Select one or multiple options to receive your order ready for a gift.","Vælg en eller flere af mulighederne for at modtage din bestilling, så den er klar til at give som gave."
"Add to Cart","Tilføj Til Indkøbskurv"
"ADD TO CART","TILFØJ TIL INDKØBSKURV"
"Choose your gift options","Vælg dine gavemuligheder"
"I want it","Jeg vil ha' det"
"Add","Tilføj"
"ADD","TILFØJ"
"Complete your order","Færdiggør din bestilling"
"COMPLETE YOUR ORDER","FÆRDIGGØR DIN BESTILLING"
"CONTINUE TO CART","TIL INDKØBSKURV"
"Gift options","Valg af gave"
"Make it a gift","Gør det til en gave"
